Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Linear,Circles,50-50,0.5,AROW,Kernel,0.762962962962963,0.776
Non-Linear,Circles,50-50,0.5,OGC,Linear,0.49876053544868615,0.4945
Non-Linear,Circles,50-50,0.5,OGC,Kernel,0.7737079779227296,0.7745
Non-Linear,Circles,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,Circles,50-50,0.5,SCW,Kernel,0.6724662896911701,0.6235
Non-Linear,Circles,50-50,0.5,RDA,Linear,0.6666666666666666,0.5
Non-Linear,Circles,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,Circles,50-50,0.5,AdaRDA,Linear,0.6666666666666666,0.5
Non-Linear,Circles,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,Circles,70-30,0.7,PA,Linear,0.5973597359735974,0.512
Non-Linear,Circles,70-30,0.7,PA,Kernel,0.8614285714285714,0.806
Non-Linear,Circles,70-30,0.7,Perceptron,Linear,0.6736678335278102,0.5805
Non-Linear,Circles,70-30,0.7,Perceptron,Kernel,0.8600071607590405,0.8045
Non-Linear,Circles,70-30,0.7,AROW,Linear,0.5858585858585859,0.508
Non-Linear,Circles,70-30,0.7,AROW,Kernel,0.8235294117647058,0.745
Non-Linear,Circles,70-30,0.7,OGC,Linear,0.7432978332721263,0.6505
Non-Linear,Circles,70-30,0.7,OGC,Kernel,0.8654259126700071,0.812
Non-Linear,Circles,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Non-Linear,Circles,70-30,0.7,SCW,Kernel,0.7958260869565218,0.7065
Non-Linear,Circles,70-30,0.7,RDA,Linear,0.8235294117647058,0.7
Non-Linear,Circles,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
Non-Linear,Circles,70-30,0.7,AdaRDA,Linear,0.8237716975581053,0.7005
Non-Linear,Circles,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Non-Linear,Circles,90-10,0.9,PA,Linear,0.6555160142348755,0.516
Non-Linear,Circles,90-10,0.9,PA,Kernel,0.947339246119734,0.905
Non-Linear,Circles,90-10,0.9,Perceptron,Linear,0.7199730094466936,0.585
Non-Linear,Circles,90-10,0.9,Perceptron,Kernel,0.9455252918287937,0.902
Non-Linear,Circles,90-10,0.9,AROW,Linear,0.6595820049592632,0.5195
Non-Linear,Circles,90-10,0.9,AROW,Kernel,0.8702953097857556,0.776
Non-Linear,Circles,90-10,0.9,OGC,Linear,0.8341028008618037,0.7305
Non-Linear,Circles,90-10,0.9,OGC,Kernel,0.9458784346378019,0.9025
Non-Linear,Circles,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,Circles,90-10,0.9,SCW,Kernel,0.8257047590178842,0.7125
Non-Linear,Circles,90-10,0.9,RDA,Linear,0.8485203633167302,0.7415
Non-Linear,Circles,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,Circles,90-10,0.9,AdaRDA,Linear,0.8498533724340176,0.744
Non-Linear,Circles,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,Quadratic,50-50,0.5,PA,Linear,0.5032386646736422,0.5015
Non-Linear,Quadratic,50-50,0.5,PA,Kernel,0.8440643863179075,0.845
Non-Linear,Quadratic,50-50,0.5,Perceptron,Linear,0.6363636363636364,0.604
Non-Linear,Quadratic,50-50,0.5,Perceptron,Kernel,0.8360902255639098,0.8365
Non-Linear,Quadratic,50-50,0.5,AROW,Linear,0.5099206349206349,0.506
Non-Linear,Quadratic,50-50,0.5,AROW,Kernel,0.7986870897155361,0.816
Non-Linear,Quadratic,50-50,0.5,OGC,Linear,0.6993127147766323,0.65
Non-Linear,Quadratic,50-50,0.5,OGC,Kernel,0.8390977443609022,0.8395
Non-Linear,Quadratic,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,Quadratic,50-50,0.5,SCW,Kernel,0.7123791992636908,0.6875
Non-Linear,Quadratic,50-50,0.5,RDA,Linear,0.6675576344804544,0.5025
Non-Linear,Quadratic,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,Quadratic,50-50,0.5,AdaRDA,Linear,0.6675576344804544,0.5025
Non-Linear,Quadratic,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,Quadratic,70-30,0.7,PA,Linear,0.5944605208763952,0.5095
Non-Linear,Quadratic,70-30,0.7,PA,Kernel,0.8867383512544803,0.842
Non-Linear,Quadratic,70-30,0.7,Perceptron,Linear,0.7450393111194309,0.6595
Non-Linear,Quadratic,70-30,0.7,Perceptron,Kernel,0.8822055137844611,0.8355
Non-Linear,Quadratic,70-30,0.7,AROW,Linear,0.5985944605208764,0.5145
Non-Linear,Quadratic,70-30,0.7,AROW,Kernel,0.8115746971736204,0.72
