Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Separable,Circles,70-30,0.7,OGC,Online,0.7432978332721263,0.6505
Non-Separable,Circles,70-30,0.7,OGC,Kernel,0.8654259126700071,0.812
Non-Separable,Circles,70-30,0.7,SCW,Online,0.5930232558139535,0.51
Non-Separable,Circles,70-30,0.7,SCW,Kernel,0.8230791875183986,0.6995
Non-Separable,Circles,70-30,0.7,RDA,Online,0.6103210077204388,0.5205
Non-Separable,Circles,70-30,0.7,RDA,Kernel,0.7256392536281963,0.603
Non-Separable,Circles,70-30,0.7,AdaRDA,Online,0.8237716975581053,0.7005
Non-Separable,Circles,70-30,0.7,AdaRDA,Kernel,0.7016672578928698,0.5795
Non-Separable,Circles,90-10,0.9,PA,Online,0.6555160142348755,0.516
Non-Separable,Circles,90-10,0.9,PA,Kernel,0.9455252918287937,0.902
Non-Separable,Circles,90-10,0.9,Perceptron,Online,0.7199730094466936,0.585
Non-Separable,Circles,90-10,0.9,Perceptron,Kernel,0.9455252918287937,0.902
Non-Separable,Circles,90-10,0.9,AROW,Online,0.6595820049592632,0.5195
Non-Separable,Circles,90-10,0.9,AROW,Kernel,0.8702953097857556,0.776
Non-Separable,Circles,90-10,0.9,OGC,Online,0.8341028008618037,0.7305
Non-Separable,Circles,90-10,0.9,OGC,Kernel,0.9458784346378019,0.9025
Non-Separable,Circles,90-10,0.9,SCW,Online,0.645367412140575,0.5005
Non-Separable,Circles,90-10,0.9,SCW,Kernel,0.9473684210526315,0.9
Non-Separable,Circles,90-10,0.9,RDA,Online,0.71617497456765,0.5815
Non-Separable,Circles,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Separable,Circles,90-10,0.9,AdaRDA,Online,0.8498533724340176,0.744
Non-Separable,Circles,90-10,0.9,AdaRDA,Kernel,0.94709133982627,0.8995
Non-Separable,Quadratic,50-50,0.5,PA,Online,0.5032386646736422,0.5015
Non-Separable,Quadratic,50-50,0.5,PA,Kernel,0.8360902255639098,0.8365
Non-Separable,Quadratic,50-50,0.5,Perceptron,Online,0.6363636363636364,0.604
Non-Separable,Quadratic,50-50,0.5,Perceptron,Kernel,0.8360902255639098,0.8365
Non-Separable,Quadratic,50-50,0.5,AROW,Online,0.5099206349206349,0.506
Non-Separable,Quadratic,50-50,0.5,AROW,Kernel,0.7986870897155361,0.816
