Dataset,Algorithm,Shuffle,F1
HeartDisease_UCI,K-AROW,43,0.7160
HeartDisease_UCI,K-AROW,44,0.7246
HeartDisease_UCI,K-AROW,45,0.7606
HeartDisease_UCI,K-AROW,46,0.7778
HeartDisease_UCI,K-AROW,47,0.7561
HeartDisease_UCI,K-AROW,48,0.7750
HeartDisease_UCI,K-AROW,49,0.7407
HeartDisease_UCI,K-AROW,50,0.6988
HeartDisease_UCI,K-AROW,51,0.7907
HeartDisease_UCI,K-AROW,52,0.7671
HeartDisease_UCI,K-AROW,53,0.7529
HeartDisease_UCI,K-AROW,54,0.0000
HeartDisease_UCI,K-AROW,55,0.7677
HeartDisease_UCI,K-AROW,56,0.7179
HeartDisease_UCI,K-AROW,57,0.6667
HeartDisease_UCI,K-AROW,58,0.8000
HeartDisease_UCI,K-AROW,59,0.6769
HeartDisease_UCI,K-AROW,60,0.7536
HeartDisease_UCI,K-AROW,61,0.7568
HeartDisease_UCI,K-AROW,62,0.7674
HeartDisease_UCI,K-AROW,63,0.7436
HeartDisease_UCI,K-AROW,64,0.6970
HeartDisease_UCI,K-AROW,65,0.7654
HeartDisease_UCI,K-AROW,66,0.7368
HeartDisease_UCI,K-AROW,67,0.8500
HeartDisease_UCI,K-AROW,68,0.7619
HeartDisease_UCI,K-AROW,69,0.7765
HeartDisease_UCI,K-AROW,70,0.7692
HeartDisease_UCI,K-AROW,71,0.7857
HeartDisease_UCI,K-AROW,72,0.7500
HeartDisease_UCI,K-AROW,73,0.7640
HeartDisease_UCI,K-AROW,74,0.6750
HeartDisease_UCI,K-AROW,75,0.8315
HeartDisease_UCI,K-AROW,76,0.8235
HeartDisease_UCI,K-AROW,77,0.7529
HeartDisease_UCI,K-AROW,78,0.7556
HeartDisease_UCI,K-AROW,79,0.8608
HeartDisease_UCI,K-AROW,80,0.7229
HeartDisease_UCI,K-AROW,81,0.6216
HeartDisease_UCI,K-AROW,82,0.8000
HeartDisease_UCI,K-AROW,83,0.7294
HeartDisease_UCI,K-AROW,84,0.7848
HeartDisease_UCI,K-AROW,85,0.7778
HeartDisease_UCI,K-AROW,86,0.7532
HeartDisease_UCI,K-AROW,87,0.7692
HeartDisease_UCI,K-AROW,88,0.7143
HeartDisease_UCI,K-AROW,89,0.6977
HeartDisease_UCI,K-AROW,90,0.0000
HeartDisease_UCI,K-AROW,91,0.7586
HeartDisease_UCI,K-AROW,92,0.7901
HeartDisease_UCI,K-AROW,93,0.0000
HeartDisease_UCI,K-AROW,94,0.7273
HeartDisease_UCI,K-AROW,95,0.7778
HeartDisease_UCI,K-AROW,96,0.7179
HeartDisease_UCI,K-AROW,97,0.7654
HeartDisease_UCI,K-AROW,98,0.8000
HeartDisease_UCI,K-AROW,99,0.8095
HeartDisease_UCI,K-AROW,100,0.8293
HeartDisease_UCI,K-GC,1,0.7805
HeartDisease_UCI,K-GC,2,0.7619
HeartDisease_UCI,K-GC,3,0.7632
HeartDisease_UCI,K-GC,4,0.7407
HeartDisease_UCI,K-GC,5,0.7901
HeartDisease_UCI,K-GC,6,0.7529
HeartDisease_UCI,K-GC,7,0.8444
HeartDisease_UCI,K-GC,8,0.7848
HeartDisease_UCI,K-GC,9,0.7907
HeartDisease_UCI,K-GC,10,0.7105
HeartDisease_UCI,K-GC,11,0.8000
HeartDisease_UCI,K-GC,12,0.8222
HeartDisease_UCI,K-GC,13,0.7674
HeartDisease_UCI,K-GC,14,0.7609
HeartDisease_UCI,K-GC,15,0.8200
HeartDisease_UCI,K-GC,16,0.7765
HeartDisease_UCI,K-GC,17,0.7945
HeartDisease_UCI,K-GC,18,0.7727
HeartDisease_UCI,K-GC,19,0.7640
HeartDisease_UCI,K-GC,20,0.7816
HeartDisease_UCI,K-GC,21,0.8000
HeartDisease_UCI,K-GC,22,0.7123
HeartDisease_UCI,K-GC,23,0.8000
HeartDisease_UCI,K-GC,24,0.7532
HeartDisease_UCI,K-GC,25,0.8298
HeartDisease_UCI,K-GC,26,0.6829
HeartDisease_UCI,K-GC,27,0.9032
HeartDisease_UCI,K-GC,28,0.7671
HeartDisease_UCI,K-GC,29,0.8140
HeartDisease_UCI,K-GC,30,0.8101
HeartDisease_UCI,K-GC,31,0.7857
HeartDisease_UCI,K-GC,32,0.7561
HeartDisease_UCI,K-GC,33,0.7692
HeartDisease_UCI,K-GC,34,0.8182
HeartDisease_UCI,K-GC,35,0.8000
HeartDisease_UCI,K-GC,36,0.7727
HeartDisease_UCI,K-GC,37,0.6835
HeartDisease_UCI,K-GC,38,0.7561
HeartDisease_UCI,K-GC,39,0.8276
HeartDisease_UCI,K-GC,40,0.7654
HeartDisease_UCI,K-GC,41,0.7727
HeartDisease_UCI,K-GC,42,0.7826
HeartDisease_UCI,K-GC,43,0.7317
HeartDisease_UCI,K-GC,44,0.7429
HeartDisease_UCI,K-GC,45,0.8000
HeartDisease_UCI,K-GC,46,0.8043
HeartDisease_UCI,K-GC,47,0.7816
HeartDisease_UCI,K-GC,48,0.8101
HeartDisease_UCI,K-GC,49,0.7901
HeartDisease_UCI,K-GC,50,0.7407
HeartDisease_UCI,K-GC,51,0.8333
HeartDisease_UCI,K-GC,52,0.8056
HeartDisease_UCI,K-GC,53,0.8095
HeartDisease_UCI,K-GC,54,0.0000
HeartDisease_UCI,K-GC,55,0.8119
HeartDisease_UCI,K-GC,56,0.7342
HeartDisease_UCI,K-GC,57,0.6757
HeartDisease_UCI,K-GC,58,0.8108
HeartDisease_UCI,K-GC,59,0.7077
HeartDisease_UCI,K-GC,60,0.7647
HeartDisease_UCI,K-GC,61,0.7778
HeartDisease_UCI,K-GC,62,0.7619
HeartDisease_UCI,K-GC,63,0.7500
HeartDisease_UCI,K-GC,64,0.7536
HeartDisease_UCI,K-GC,65,0.7711
HeartDisease_UCI,K-GC,66,0.7368
HeartDisease_UCI,K-GC,67,0.8750
HeartDisease_UCI,K-GC,68,0.7816
HeartDisease_UCI,K-GC,69,0.7674
HeartDisease_UCI,K-GC,70,0.7692
HeartDisease_UCI,K-GC,71,0.7805
HeartDisease_UCI,K-GC,72,0.7606
HeartDisease_UCI,K-GC,73,0.7778
HeartDisease_UCI,K-GC,74,0.6914
HeartDisease_UCI,K-GC,75,0.8261
HeartDisease_UCI,K-GC,76,0.8235
HeartDisease_UCI,K-GC,77,0.7470
HeartDisease_UCI,K-GC,78,0.7692
HeartDisease_UCI,K-GC,79,0.8974
HeartDisease_UCI,K-GC,80,0.7317
HeartDisease_UCI,K-GC,81,0.6389
HeartDisease_UCI,K-GC,82,0.7952
HeartDisease_UCI,K-GC,83,0.7727
HeartDisease_UCI,K-GC,84,0.8250
HeartDisease_UCI,K-GC,85,0.8043
HeartDisease_UCI,K-GC,86,0.7568
HeartDisease_UCI,K-GC,87,0.8000
HeartDisease_UCI,K-GC,88,0.7647
HeartDisease_UCI,K-GC,89,0.7229
HeartDisease_UCI,K-GC,90,0.0000
HeartDisease_UCI,K-GC,91,0.7805
HeartDisease_UCI,K-GC,92,0.8205
HeartDisease_UCI,K-GC,93,0.0000
HeartDisease_UCI,K-GC,94,0.7532
HeartDisease_UCI,K-GC,95,0.7912
HeartDisease_UCI,K-GC,96,0.7273
HeartDisease_UCI,K-GC,97,0.7901
HeartDisease_UCI,K-GC,98,0.8315
HeartDisease_UCI,K-GC,99,0.8193
HeartDisease_UCI,K-GC,100,0.8333
HeartDisease_UCI,K-RDA,1,0.6047
HeartDisease_UCI,K-RDA,2,0.6565
HeartDisease_UCI,K-RDA,3,0.6202
HeartDisease_UCI,K-RDA,4,0.5891
HeartDisease_UCI,K-RDA,5,0.6212
HeartDisease_UCI,K-RDA,6,0.6202
HeartDisease_UCI,K-RDA,7,0.6617
HeartDisease_UCI,K-RDA,8,0.6202
HeartDisease_UCI,K-RDA,9,0.6567
HeartDisease_UCI,K-RDA,10,0.5827
HeartDisease_UCI,K-RDA,11,0.6515
HeartDisease_UCI,K-RDA,12,0.6765
HeartDisease_UCI,K-RDA,13,0.6212
HeartDisease_UCI,K-RDA,14,0.6567
HeartDisease_UCI,K-RDA,15,0.6812
HeartDisease_UCI,K-RDA,16,0.6466
HeartDisease_UCI,K-RDA,17,0.5714
HeartDisease_UCI,K-RDA,18,0.6716
HeartDisease_UCI,K-RDA,19,0.6519
HeartDisease_UCI,K-RDA,20,0.6107
HeartDisease_UCI,K-RDA,21,0.5938
HeartDisease_UCI,K-RDA,22,0.5645
HeartDisease_UCI,K-RDA,23,0.6154
HeartDisease_UCI,K-RDA,24,0.6047
HeartDisease_UCI,K-RDA,25,0.6906
HeartDisease_UCI,K-RDA,26,0.5781
HeartDisease_UCI,K-RDA,27,0.6567
HeartDisease_UCI,K-RDA,28,0.5760
HeartDisease_UCI,K-RDA,29,0.6308
HeartDisease_UCI,K-RDA,30,0.6154
HeartDisease_UCI,K-RDA,31,0.5891
HeartDisease_UCI,K-RDA,32,0.6515
HeartDisease_UCI,K-RDA,33,0.5827
HeartDisease_UCI,K-RDA,34,0.5289
HeartDisease_UCI,K-RDA,35,0.5556
HeartDisease_UCI,K-RDA,36,0.6667
HeartDisease_UCI,K-RDA,37,0.6357
HeartDisease_UCI,K-RDA,38,0.6260
HeartDisease_UCI,K-RDA,39,0.6519
HeartDisease_UCI,K-RDA,40,0.6047
HeartDisease_UCI,K-RDA,41,0.6364
HeartDisease_UCI,K-RDA,42,0.7007
HeartDisease_UCI,K-RDA,43,0.6308
HeartDisease_UCI,K-RDA,44,0.5645
HeartDisease_UCI,K-RDA,45,0.5410
HeartDisease_UCI,K-RDA,46,0.6667
HeartDisease_UCI,K-RDA,47,0.6466
HeartDisease_UCI,K-RDA,48,0.5984
HeartDisease_UCI,K-RDA,49,0.6260
HeartDisease_UCI,K-RDA,50,0.6567
HeartDisease_UCI,K-RDA,51,0.6154
HeartDisease_UCI,K-RDA,52,0.5574
HeartDisease_UCI,K-RDA,53,0.6154
HeartDisease_UCI,K-RDA,54,0.0000
HeartDisease_UCI,K-RDA,55,0.7143
HeartDisease_UCI,K-RDA,56,0.6565
HeartDisease_UCI,K-RDA,57,0.5440
HeartDisease_UCI,K-RDA,58,0.5528
HeartDisease_UCI,K-RDA,59,0.5289
HeartDisease_UCI,K-RDA,60,0.5440
HeartDisease_UCI,K-RDA,61,0.5691
HeartDisease_UCI,K-RDA,62,0.6260
HeartDisease_UCI,K-RDA,63,0.5984
HeartDisease_UCI,K-RDA,64,0.5323
HeartDisease_UCI,K-RDA,65,0.6667
HeartDisease_UCI,K-RDA,66,0.5556
HeartDisease_UCI,K-RDA,67,0.6154
HeartDisease_UCI,K-RDA,68,0.6364
HeartDisease_UCI,K-RDA,69,0.6260
HeartDisease_UCI,K-RDA,70,0.5891
HeartDisease_UCI,K-RDA,71,0.6154
HeartDisease_UCI,K-RDA,72,0.5714
HeartDisease_UCI,K-RDA,73,0.6260
HeartDisease_UCI,K-RDA,74,0.6316
HeartDisease_UCI,K-RDA,75,0.6957
HeartDisease_UCI,K-RDA,76,0.7273
HeartDisease_UCI,K-RDA,77,0.5938
HeartDisease_UCI,K-RDA,78,0.7101
HeartDisease_UCI,K-RDA,79,0.5984
HeartDisease_UCI,K-RDA,80,0.5984
HeartDisease_UCI,K-RDA,81,0.5760
HeartDisease_UCI,K-RDA,82,0.6260
HeartDisease_UCI,K-RDA,83,0.6047
HeartDisease_UCI,K-RDA,84,0.6260
HeartDisease_UCI,K-RDA,85,0.6812
HeartDisease_UCI,K-RDA,86,0.5827
HeartDisease_UCI,K-RDA,87,0.6716
HeartDisease_UCI,K-RDA,88,0.5289
HeartDisease_UCI,K-RDA,89,0.5714
HeartDisease_UCI,K-RDA,90,0.0000
HeartDisease_UCI,K-RDA,91,0.5760
HeartDisease_UCI,K-RDA,92,0.6032
HeartDisease_UCI,K-RDA,93,0.0000
